path,class,bbox
images/train/1_2.jpg,0,139.0 30.0 153.0 264.0
images/train/1_4.jpg,0,112.0 90.0 255.0 242.0
images/train/1_5.jpg,0,70.0 50.0 134.0 303.0
images/train/1_7.jpg,0,7.0 75.0 420.0 262.0
images/train/1_8.jpg,0,78.0 86.0 333.0 158.0
images/train/1_9.jpg,0,112.0 76.0 221.0 189.0
images/train/1_11.jpg,0,1.0 52.0 342.0 260.0
images/train/1_15.jpg,0,23.0 80.0 395.0 237.0
images/train/1_18.jpg,0,45.0 58.0 254.0 249.0
images/train/1_20.jpg,0,23.0 195.0 255.0 122.0
images/train/1_21.jpg,0,11.0 77.0 281.0 139.0
images/train/1_23.jpg,0,154.0 93.0 188.0 165.0
images/train/1_30.jpg,0,90.0 29.0 224.0 211.0
images/train/1_31.jpg,0,38.0 15.0 314.0 301.0
images/train/1_32.jpg,0,20.0 91.0 416.0 203.0
images/train/1_35.jpg,0,19.0 18.0 464.0 294.0
images/train/1_36.jpg,0,72.0 40.0 286.0 225.0
images/train/1_37.jpg,0,216.0 119.0 221.0 154.0
images/train/1_40.jpg,0,130.0 29.0 202.0 393.0
images/train/1_41.jpg,0,53.0 46.0 302.0 317.0
images/train/1_42.jpg,0,25.0 17.0 368.0 299.0
images/train/1_43.jpg,0,137.0 64.0 287.0 156.0
images/train/1_46.jpg,0,13.0 28.0 212.0 283.0
images/train/1_49.jpg,0,49.0 69.0 253.0 211.0
images/train/1_51.jpg,0,151.0 152.0 310.0 200.0
images/train/1_53.jpg,0,60.0 29.0 432.0 355.0
images/train/1_55.jpg,0,152.0 86.0 120.0 141.0
images/train/1_56.jpg,0,2.0 45.0 189.0 120.0
images/train/1_58.jpg,0,46.0 24.0 197.0 117.0
images/train/1_60.jpg,0,96.0 77.0 260.0 170.0
images/train/2_62.jpg,1,202.0 28.0 164.0 340.0
images/train/2_64.jpg,1,60.0 128.0 438.0 106.0
images/train/2_66.jpg,1,41.0 79.0 387.0 202.0
images/train/2_67.jpg,1,156.0 35.0 126.0 259.0
images/train/2_69.jpg,1,82.0 75.0 308.0 260.0
